Time	Lux	CLA	CS	Activity
03/14/2013 12:00:30	152.1090	89.0669	0.1249	0.7039 1391446830000
03/14/2013 12:01:00	113.8234	138.5253	0.1828	0.5920 1391446860000
03/14/2013 12:01:30	127.4858	73.2415	0.1043	0.8169 1391446890000
03/14/2013 12:02:00	49.9832	53.9770	0.0778	0.6724 1391446920000
03/14/2013 12:02:30	81.4181	52.1914	0.0753	0.7387 1391446950000
03/14/2013 12:03:00	61.5536	31.4086	0.0451	0.7135 1391446980000
03/14/2013 12:03:30	5.6268	3.3469	0.0041	0.1792 1391447010000
03/14/2013 12:04:00	207.7824	243.0757	0.2776	0.8615 1391447040000
03/14/2013 12:04:30	168.4531	81.8104	0.1156	0.6924 1391447070000
03/14/2013 12:05:00	146.2628	76.7501	0.1090	0.5449 1391447100000
03/14/2013 12:05:30	146.9845	79.4388	0.1125	0.0382 1391447130000
03/14/2013 12:06:00	76.9663	39.2996	0.0567	0.8470 1391447160000
03/14/2013 12:06:30	33.5170	40.2148	0.0580	0.1986 1391447190000
03/14/2013 12:07:00	85.8600	103.4903	0.1428	0.2397 1391447220000
03/14/2013 12:07:30	127.6954	152.2836	0.1973	0.2162 1391447250000
03/14/2013 12:08:00	164.7230	196.7866	0.2397	0.6541 1391447280000
03/14/2013 12:08:30	169.1017	81.5445	0.1153	0.5136 1391447310000
03/14/2013 12:09:00	152.5381	79.9340	0.1131	0.6102 1391447340000
03/14/2013 12:09:30	138.5199	71.2608	0.1016	0.8293 1391447370000
03/14/2013 12:10:00	51.7676	26.9255	0.0384	0.1961 1391447400000
03/14/2013 12:10:30	89.5170	45.5742	0.0658	0.4186 1391447430000
03/14/2013 12:11:00	81.7740	40.1413	0.0579	0.4026 1391447460000
03/14/2013 12:11:30	115.7201	134.4046	0.1784	0.5924 1391447490000
03/14/2013 12:12:00	221.9130	245.9219	0.2798	0.4215 1391447520000
03/14/2013 12:12:30	273.0320	311.7016	0.3246	0.3757 1391447550000
03/14/2013 12:13:00	240.4072	277.3886	0.3023	0.4622 1391447580000
03/14/2013 12:13:30	141.6405	168.5480	0.2135	0.5594 1391447610000
03/14/2013 12:14:00	129.8116	155.6813	0.2007	0.6134 1391447640000
03/14/2013 12:14:30	111.0587	135.1266	0.1792	0.2773 1391447670000
03/14/2013 12:15:00	125.0770	153.8972	0.1989	0.3033 1391447700000
03/14/2013 12:15:30	136.9060	166.7639	0.2118	0.1058 1391447730000
03/14/2013 12:16:00	55.9268	28.0226	0.0401	0.5740 1391447760000
03/14/2013 12:16:30	85.3578	44.4629	0.0642	0.3425 1391447790000
03/14/2013 12:17:00	89.4438	42.6274	0.0615	0.3808 1391447820000
03/14/2013 12:17:30	85.2115	103.4893	0.1428	0.1973 1391447850000
03/14/2013 12:18:00	97.6158	113.8509	0.1552	0.3097 1391447880000
03/14/2013 12:18:30	205.1299	223.7527	0.2625	0.5426 1391447910000
03/14/2013 12:19:00	240.8363	269.8712	0.2971	0.4808 1391447940000
03/14/2013 12:19:30	139.4512	162.6442	0.2077	0.3220 1391447970000
03/14/2013 12:20:00	117.1877	137.8013	0.1821	0.0584 1391448000000
03/14/2013 12:20:30	216.6030	246.6429	0.2803	0.2927 1391448030000
03/14/2013 12:21:00	250.6222	281.8464	0.3053	0.2195 1391448060000
03/14/2013 12:21:30	39.7924	47.9017	0.0692	0.6451 1391448090000
03/14/2013 12:22:00	205.8465	113.0696	0.1542	0.6552 1391448120000
03/14/2013 12:22:30	197.0991	119.9008	0.1622	0.0493 1391448150000
03/14/2013 12:23:00	190.8969	119.6427	0.1619	0.2386 1391448180000
03/14/2013 12:23:30	186.8109	121.4463	0.1639	0.4390 1391448210000
03/14/2013 12:24:00	20.2205	23.9513	0.0340	0.2376 1391448240000
03/14/2013 12:24:30	138.4225	71.3733	0.1018	0.6913 1391448270000
03/14/2013 12:25:00	128.3780	78.7673	0.1116	0.9229 1391448300000
03/14/2013 12:25:30	116.8318	60.0951	0.0864	0.1636 1391448330000
03/14/2013 12:26:00	215.7056	120.6912	0.1631	0.4249 1391448360000
03/14/2013 12:26:30	179.3167	213.0520	0.2537	0.0441 1391448390000
03/14/2013 12:27:00	126.9005	147.2703	0.1921	0.8415 1391448420000
03/14/2013 12:27:30	166.8099	121.3307	0.1638	1.0148 1391448450000
03/14/2013 12:28:00	209.0450	177.4591	0.2220	0.2324 1391448480000
03/14/2013 12:28:30	170.3205	122.7482	0.1654	0.1833 1391448510000
03/14/2013 12:29:00	218.4019	191.3188	0.2348	0.1737 1391448540000
03/14/2013 12:29:30	225.0332	182.4329	0.2267	0.7530 1391448570000
03/14/2013 12:30:00	38.3489	42.8874	0.0619	0.2885 1391448600000
03/14/2013 12:30:30	83.5584	51.1540	0.0738	0.6275 1391448630000
03/14/2013 12:31:00	50.6900	36.2838	0.0523	0.5079 1391448660000
03/14/2013 12:31:30	13.2966	16.2634	0.0226	0.2666 1391448690000
03/14/2013 12:32:00	129.5628	96.1090	0.1338	0.7588 1391448720000
03/14/2013 12:32:30	195.2462	177.5410	0.2221	0.5489 1391448750000
03/14/2013 12:33:00	117.3047	101.5714	0.1405	0.7809 1391448780000
03/14/2013 12:33:30	52.3430	63.2756	0.0908	0.4543 1391448810000
03/14/2013 12:34:00	99.8052	119.7547	0.1620	0.5309 1391448840000
03/14/2013 12:34:30	127.1932	61.4334	0.0882	0.4192 1391448870000
03/14/2013 12:35:00	81.1986	43.3531	0.0626	0.8436 1391448900000
03/14/2013 12:35:30	25.1255	29.1302	0.0417	0.6526 1391448930000
03/14/2013 12:36:00	20.9663	24.8409	0.0353	0.5899 1391448960000
03/14/2013 12:36:30	15.3396	17.1550	0.0239	0.2150 1391448990000
03/14/2013 12:37:00	45.0632	32.9021	0.0473	0.3128 1391449020000
03/14/2013 12:37:30	78.8728	59.2681	0.0852	0.7244 1391449050000
03/14/2013 12:38:00	99.3029	50.0992	0.0723	0.5272 1391449080000
03/14/2013 12:38:30	99.8783	122.2609	0.1649	0.4864 1391449110000
03/14/2013 12:39:00	55.8536	67.5638	0.0966	0.5965 1391449140000
03/14/2013 12:39:30	66.2882	79.5400	0.1126	0.7257 1391449170000
03/14/2013 12:40:00	108.1235	128.3332	0.1717	0.0987 1391449200000
03/14/2013 12:40:30	124.0385	142.9831	0.1876	0.7756 1391449230000
03/14/2013 12:41:00	110.2397	131.7309	0.1754	0.3632 1391449260000
03/14/2013 12:41:30	125.5792	148.8859	0.1938	0.4334 1391449290000
03/14/2013 12:42:00	137.4814	164.2588	0.2093	0.4987 1391449320000
03/14/2013 12:42:30	135.4383	163.3672	0.2084	0.5286 1391449350000
03/14/2013 12:43:00	156.8436	86.9858	0.1223	0.6447 1391449380000
03/14/2013 12:43:30	161.7585	114.6369	0.1561	0.4711 1391449410000
03/14/2013 12:44:00	132.8931	67.8209	0.0970	0.3909 1391449440000
03/14/2013 12:44:30	127.2663	64.3852	0.0923	0.4198 1391449470000
